split,reference,metric,mean_diff,ci95,lower95,upper95,n
contact_mode_shift,recovery_aware_mpc,recovery_success,-0.153565,0.000687,-0.154251,-0.152878,10
contact_mode_shift,recovery_aware_mpc,robust_utility,-0.236445,0.038284,-0.274729,-0.198161,10
contact_mode_shift,recovery_aware_mpc,safety_violation,0.013542,0.025744,-0.012203,0.039286,10
contact_mode_shift,recovery_aware_mpc,task_success,-0.116667,0.038774,-0.155440,-0.077893,10
contact_mode_shift,recovery_aware_mpc,unsafe_autonomy,-0.043911,0.000334,-0.044244,-0.043577,10
contact_mode_shift,uncertainty_triggered_handoff,authority_regret,-0.041486,0.001095,-0.042581,-0.040392,10
contact_mode_shift,uncertainty_triggered_handoff,boundary_calibration_error,-0.029778,0.000558,-0.030336,-0.029220,10
contact_mode_shift,uncertainty_triggered_handoff,handoff_churn,-0.079441,0.000759,-0.080200,-0.078682,10
contact_mode_shift,uncertainty_triggered_handoff,human_burden,-0.096853,0.000984,-0.097837,-0.095868,10
contact_mode_shift,uncertainty_triggered_handoff,intervention_cost,-0.000822,0.000300,-0.001122,-0.000522,10
contact_mode_shift,uncertainty_triggered_handoff,late_handoff,-0.029545,0.000797,-0.030342,-0.028748,10
contact_mode_shift,uncertainty_triggered_handoff,override_precision,0.060333,0.000789,0.059544,0.061122,10
contact_mode_shift,uncertainty_triggered_handoff,recovery_success,0.124851,0.000926,0.123925,0.125777,10
contact_mode_shift,uncertainty_triggered_handoff,robust_utility,0.136603,0.048956,0.087646,0.185559,10
contact_mode_shift,uncertainty_triggered_handoff,safety_violation,-0.010938,0.021652,-0.032590,0.010715,10
contact_mode_shift,uncertainty_triggered_handoff,task_success,0.071875,0.050098,0.021777,0.121973,10
contact_mode_shift,uncertainty_triggered_handoff,unsafe_autonomy,0.016414,0.000258,0.016156,0.016672,10
fragile_object_shift,authority_boundary_v4,authority_regret,-0.035815,0.000712,-0.036527,-0.035104,10
fragile_object_shift,authority_boundary_v4,boundary_calibration_error,-0.009647,0.000544,-0.010191,-0.009103,10
fragile_object_shift,authority_boundary_v4,handoff_churn,-0.020403,0.000672,-0.021075,-0.019731,10
fragile_object_shift,authority_boundary_v4,human_burden,-0.154019,0.000811,-0.154829,-0.153208,10
fragile_object_shift,authority_boundary_v4,intervention_cost,-0.014221,0.000648,-0.014869,-0.013573,10
fragile_object_shift,authority_boundary_v4,late_handoff,-0.014906,0.000874,-0.015780,-0.014031,10
fragile_object_shift,authority_boundary_v4,override_precision,0.029880,0.000579,0.029301,0.030459,10
fragile_object_shift,authority_boundary_v4,recovery_success,0.067944,0.001007,0.066937,0.068951,10
fragile_object_shift,authority_boundary_v4,robust_utility,0.153765,0.026241,0.127525,0.180006,10
fragile_object_shift,authority_boundary_v4,safety_violation,-0.052604,0.020946,-0.073550,-0.031659,10
fragile_object_shift,authority_boundary_v4,task_success,0.063541,0.020405,0.043136,0.083947,10
fragile_object_shift,authority_boundary_v4,unsafe_autonomy,0.025947,0.000313,0.025634,0.026260,10
fragile_object_shift,bayesian_authority_allocation,authority_regret,-0.019976,0.000673,-0.020648,-0.019303,10
fragile_object_shift,bayesian_authority_allocation,boundary_calibration_error,0.000375,0.000619,-0.000244,0.000993,10
