stress_axis,stress_level,method,seed,n,task_success,safety_violation,authority_regret,human_burden,late_handoff,handoff_churn,recovery_success,intervention_cost,boundary_calibration_error,override_precision,unsafe_autonomy,robust_utility
authority_churn,0.20,confidence_threshold_shared_control,7,120,0.083333,0.400000,0.459181,0.884284,0.432391,0.468322,0.332799,0.376333,0.340768,0.343918,0.062826,-0.628081
authority_churn,0.20,confidence_threshold_shared_control,8,120,0.175000,0.275000,0.457718,0.882270,0.433049,0.470952,0.334263,0.377582,0.342501,0.342124,0.062411,-0.458493
authority_churn,0.20,confidence_threshold_shared_control,9,120,0.075000,0.383333,0.455970,0.885481,0.429635,0.466994,0.334916,0.376050,0.341190,0.342155,0.062507,-0.624767
authority_churn,0.20,mpc_risk_arbitration,0,120,0.416667,0.225000,0.260259,0.375965,0.314880,0.348815,0.713139,0.291610,0.252109,0.563362,0.125439,0.057522
authority_churn,0.20,mpc_risk_arbitration,1,120,0.416667,0.216667,0.259663,0.376336,0.317189,0.346390,0.712221,0.291888,0.251270,0.564296,0.125188,0.062569
authority_churn,0.20,mpc_risk_arbitration,2,120,0.416667,0.208333,0.258841,0.372485,0.314974,0.348938,0.711883,0.291043,0.251786,0.564844,0.125834,0.068971
authority_churn,0.20,mpc_risk_arbitration,3,120,0.441667,0.275000,0.258099,0.373327,0.314280,0.350044,0.715415,0.290298,0.251962,0.565083,0.125102,0.052957
authority_churn,0.20,mpc_risk_arbitration,4,120,0.408333,0.175000,0.259158,0.370931,0.313919,0.348357,0.711956,0.291579,0.251972,0.564244,0.126870,0.081789
authority_churn,0.20,mpc_risk_arbitration,5,120,0.475000,0.175000,0.257826,0.372257,0.311543,0.348585,0.716345,0.289655,0.250151,0.563995,0.125337,0.149367
authority_churn,0.20,mpc_risk_arbitration,6,120,0.416667,0.116667,0.259093,0.374916,0.313655,0.346019,0.712248,0.292034,0.252135,0.563035,0.125909,0.125650
authority_churn,0.20,mpc_risk_arbitration,7,120,0.458333,0.208333,0.259921,0.374318,0.316337,0.346629,0.713198,0.293288,0.252119,0.563899,0.125204,0.109868
authority_churn,0.20,mpc_risk_arbitration,8,120,0.400000,0.258333,0.258718,0.374474,0.316610,0.349744,0.712894,0.291797,0.252307,0.565120,0.126545,0.020505
authority_churn,0.20,mpc_risk_arbitration,9,120,0.475000,0.241667,0.257557,0.376600,0.313910,0.347958,0.714523,0.291664,0.251668,0.562327,0.125802,0.106408
authority_churn,0.20,pomdp_handoff_policy,0,120,0.291667,0.191667,0.297480,0.556257,0.341017,0.390190,0.641233,0.351751,0.261536,0.523347,0.098258,-0.120300
authority_churn,0.20,pomdp_handoff_policy,1,120,0.333333,0.258333,0.298033,0.560214,0.341042,0.388025,0.640616,0.354892,0.260470,0.523813,0.097537,-0.121163
authority_churn,0.20,pomdp_handoff_policy,2,120,0.400000,0.216667,0.297654,0.556847,0.337479,0.385813,0.642281,0.351646,0.261944,0.525169,0.099282,-0.026467
authority_churn,0.20,pomdp_handoff_policy,3,120,0.433333,0.133333,0.294203,0.556728,0.338392,0.389199,0.640893,0.352127,0.262377,0.525140,0.097953,0.058713
authority_churn,0.20,pomdp_handoff_policy,4,120,0.308333,0.283333,0.295392,0.558156,0.337949,0.387611,0.644259,0.351608,0.261263,0.526045,0.098819,-0.159344
authority_churn,0.20,pomdp_handoff_policy,5,120,0.350000,0.233333,0.297555,0.555254,0.338068,0.388923,0.642312,0.350656,0.260866,0.523792,0.099722,-0.086759
authority_churn,0.20,pomdp_handoff_policy,6,120,0.308333,0.175000,0.297625,0.557870,0.338484,0.388932,0.642175,0.351597,0.261007,0.523107,0.098730,-0.093076
authority_churn,0.20,pomdp_handoff_policy,7,120,0.366667,0.225000,0.298772,0.561159,0.339693,0.386568,0.641210,0.354470,0.262147,0.524755,0.097956,-0.067094
authority_churn,0.20,pomdp_handoff_policy,8,120,0.316667,0.225000,0.296900,0.558109,0.338806,0.389444,0.642177,0.351378,0.263348,0.526192,0.098717,-0.115710
authority_churn,0.20,pomdp_handoff_policy,9,120,0.350000,0.233333,0.294989,0.556387,0.336841,0.388710,0.642112,0.352593,0.260247,0.525640,0.099223,-0.086377
authority_churn,0.20,recovery_aware_mpc,0,120,0.458333,0.225000,0.273978,0.420315,0.311492,0.359154,0.761147,0.340287,0.260279,0.555278,0.122504,0.083389
authority_churn,0.20,recovery_aware_mpc,1,120,0.450000,0.233333,0.273164,0.423405,0.315284,0.356356,0.758950,0.340173,0.261559,0.554864,0.122165,0.068915
authority_churn,0.20,recovery_aware_mpc,2,120,0.375000,0.216667,0.273099,0.419411,0.309432,0.359650,0.762096,0.340557,0.260973,0.552925,0.122740,0.005978
authority_churn,0.20,recovery_aware_mpc,3,120,0.383333,0.183333,0.272789,0.420671,0.310111,0.357387,0.764162,0.338821,0.262012,0.554113,0.121308,0.035255
authority_churn,0.20,recovery_aware_mpc,4,120,0.483333,0.208333,0.272830,0.420095,0.307656,0.354993,0.762070,0.338167,0.261758,0.554611,0.123241,0.120461
authority_churn,0.20,recovery_aware_mpc,5,120,0.291667,0.233333,0.274071,0.417791,0.308459,0.358915,0.762466,0.338273,0.261870,0.555686,0.124044,-0.087041
authority_churn,0.20,recovery_aware_mpc,6,120,0.450000,0.216667,0.273400,0.423053,0.308758,0.357704,0.762617,0.338457,0.262624,0.553240,0.122448,0.080622
authority_churn,0.20,recovery_aware_mpc,7,120,0.416667,0.216667,0.275311,0.421961,0.312027,0.357857,0.761678,0.339823,0.262221,0.556244,0.122356,0.046320
authority_churn,0.20,recovery_aware_mpc,8,120,0.450000,0.250000,0.273840,0.420038,0.312711,0.360156,0.761489,0.338416,0.261855,0.555932,0.122412,0.059556
authority_churn,0.20,recovery_aware_mpc,9,120,0.416667,0.200000,0.272979,0.420253,0.307892,0.358247,0.760777,0.338675,0.260734,0.553926,0.124180,0.058303
authority_churn,0.40,authority_boundary_v5,0,120,0.333333,0.258333,0.331894,0.705716,0.338168,0.461204,0.603924,0.379926,0.284684,0.503712,0.069717,-0.178309
authority_churn,0.40,authority_boundary_v5,1,120,0.300000,0.250000,0.333452,0.710727,0.341049,0.460465,0.604455,0.383092,0.283781,0.503153,0.069371,-0.208714
authority_churn,0.40,authority_boundary_v5,2,120,0.316667,0.191667,0.333360,0.709565,0.343637,0.464285,0.604080,0.382823,0.285539,0.502452,0.069110,-0.156454
authority_churn,0.40,authority_boundary_v5,3,120,0.250000,0.266667,0.334062,0.709755,0.342117,0.460591,0.603056,0.382195,0.283259,0.504543,0.069361,-0.269175
authority_churn,0.40,authority_boundary_v5,4,120,0.358333,0.241667,0.332832,0.709471,0.341602,0.461251,0.602774,0.380704,0.283816,0.502817,0.068977,-0.144836
authority_churn,0.40,authority_boundary_v5,5,120,0.266667,0.275000,0.334924,0.707830,0.339013,0.461915,0.604816,0.381783,0.284142,0.503881,0.069341,-0.256908
authority_churn,0.40,authority_boundary_v5,6,120,0.350000,0.191667,0.335131,0.707118,0.339257,0.460416,0.603165,0.381456,0.284531,0.503556,0.069873,-0.121748
authority_churn,0.40,authority_boundary_v5,7,120,0.241667,0.183333,0.335742,0.708023,0.343138,0.464199,0.601529,0.381511,0.283542,0.503497,0.069362,-0.226496
authority_churn,0.40,authority_boundary_v5,8,120,0.366667,0.225000,0.335600,0.713368,0.342249,0.463586,0.601123,0.380740,0.284699,0.500690,0.068455,-0.128316
authority_churn,0.40,authority_boundary_v5,9,120,0.425000,0.300000,0.334180,0.708653,0.340857,0.458971,0.603392,0.380965,0.281822,0.500778,0.068882,-0.114060
authority_churn,0.40,bayesian_authority_allocation,0,120,0.250000,0.283333,0.353817,0.731849,0.374996,0.449058,0.524896,0.373688,0.283287,0.461781,0.069689,-0.299028
authority_churn,0.40,bayesian_authority_allocation,1,120,0.258333,0.308333,0.354646,0.735575,0.378862,0.449078,0.523587,0.373495,0.283667,0.462479,0.068873,-0.308003
authority_churn,0.40,bayesian_authority_allocation,2,120,0.308333,0.183333,0.355862,0.733821,0.378651,0.451989,0.525475,0.373941,0.282405,0.460058,0.069379,-0.180595
authority_churn,0.40,bayesian_authority_allocation,3,120,0.241667,0.225000,0.355058,0.736894,0.378942,0.452213,0.523491,0.375174,0.283819,0.461398,0.068622,-0.273987
authority_churn,0.40,bayesian_authority_allocation,4,120,0.308333,0.291667,0.354703,0.733187,0.375532,0.449970,0.523402,0.375162,0.285421,0.461638,0.069360,-0.246866
authority_churn,0.40,bayesian_authority_allocation,5,120,0.308333,0.191667,0.353845,0.733994,0.376965,0.450933,0.524977,0.373105,0.284940,0.463299,0.069045,-0.184859
authority_churn,0.40,bayesian_authority_allocation,6,120,0.366667,0.225000,0.354073,0.735091,0.375113,0.450319,0.522698,0.373417,0.282466,0.463427,0.069217,-0.147355
